INFO:root:starting to log...
INFO:root:getting all macro associations...
INFO:root:extracting macro from program number=7900
INFO:root:extracting macro from program number=8000
INFO:root:extracting macro from program number=8100
INFO:root:extracting macro from program number=8200
INFO:root:extracting macro from program number=8300
INFO:root:extracting macro from program number=8400
INFO:root:extracting macro from program number=8500
INFO:root:extracting macro from program number=8600
INFO:root:extracting macro from program number=8700
INFO:root:extracting macro from program number=8800
INFO:root:extracting macro from program number=8900
INFO:root:extracting macro from program number=9000
INFO:root:extracting macro from program number=9100
INFO:root:extracting macro from program number=9200
INFO:root:extracting macro from program number=9300
INFO:root:extracting macro from program number=9400
INFO:root:extracting macro from program number=9500
INFO:root:extracting macro from program number=9600
INFO:root:extracting macro from program number=9700
INFO:root:extracting macro from program number=9800
INFO:root:extracting macro from program number=9900
INFO:root:extracting macro from program number=10000
INFO:root:extracting macro from program number=10100
INFO:root:extracting macro from program number=10200
INFO:root:extracting macro from program number=10300
INFO:root:extracting macro from program number=10400
INFO:root:extracting macro from program number=10500
INFO:root:extracting macro from program number=10600
INFO:root:extracting macro from program number=10700
INFO:root:extracting macro from program number=10800
INFO:root:extracting macro from program number=10900
INFO:root:extracting macro from program number=11000
INFO:root:extracting macro from program number=11100
INFO:root:extracting macro from program number=11200
INFO:root:extracting macro from program number=11300
INFO:root:extracting macro from program number=11400
INFO:root:extracting macro from program number=11500
INFO:root:extracting macro from program number=11600
INFO:root:extracting macro from program number=11700
INFO:root:extracting macro from program number=11800
INFO:root:extracting macro from program number=11900
INFO:root:extracting macro from program number=12000
INFO:root:extracting macro from program number=12100
INFO:root:extracting macro from program number=12200
INFO:root:extracting macro from program number=12300
INFO:root:extracting macro from program number=12400
INFO:root:extracting macro from program number=12500
INFO:root:extracting macro from program number=12600
INFO:root:extracting macro from program number=12700
INFO:root:extracting macro from program number=12800
INFO:root:extracting macro from program number=12900
INFO:root:extracting macro from program number=13000
INFO:root:extracting macro from program number=13100
INFO:root:extracting macro from program number=13200
INFO:root:extracting macro from program number=13300
INFO:root:extracting macro from program number=13400
INFO:root:extracting macro from program number=13500
INFO:root:extracting macro from program number=13600
INFO:root:extracting macro from program number=13700
INFO:root:extracting macro from program number=13800
INFO:root:extracting macro from program number=13900
INFO:root:extracting macro from program number=14000
INFO:root:extracting macro from program number=14100
INFO:root:extracting macro from program number=14200
INFO:root:extracting macro from program number=14300
INFO:root:extracting macro from program number=14400
INFO:root:extracting macro from program number=14500
INFO:root:extracting macro from program number=14600
INFO:root:extracting macro from program number=14700
INFO:root:extracting macro from program number=14800
INFO:root:extracting macro from program number=14900
INFO:root:extracting macro from program number=15000
INFO:root:extracting macro from program number=15100
INFO:root:extracting macro from program number=15200
INFO:root:extracting macro from program number=15300
INFO:root:extracting macro from program number=15400
INFO:root:extracting macro from program number=15500
INFO:root:extracting macro from program number=15600
INFO:root:extracting macro from program number=15700
INFO:root:extracting macro from program number=15800
INFO:root:extracting macro from program number=15900
INFO:root:extracting macro from program number=16000
INFO:root:extracting macro from program number=16100
INFO:root:extracting macro from program number=16200
INFO:root:extracting macro from program number=16300
INFO:root:extracting macro from program number=16400
INFO:root:extracting macro from program number=16500
INFO:root:extracting macro from program number=16600
INFO:root:extracting macro from program number=16700
INFO:root:extracting macro from program number=16800
INFO:root:extracting macro from program number=16900
INFO:root:extracting macro from program number=17000
INFO:root:extracting macro from program number=17100
INFO:root:extracting macro from program number=17200
INFO:root:extracting macro from program number=17300
INFO:root:extracting macro from program number=17400
INFO:root:extracting macro from program number=17500
INFO:root:extracting macro from program number=17600
INFO:root:extracting macro from program number=17700
INFO:root:extracting macro from program number=17800
INFO:root:extracting macro from program number=17900
INFO:root:extracting macro from program number=18000
INFO:root:extracting macro from program number=18100
INFO:root:extracting macro from program number=18200
INFO:root:extracting macro from program number=18300
INFO:root:extracting macro from program number=18400
INFO:root:extracting macro from program number=18500
INFO:root:extracting macro from program number=18600
INFO:root:extracting macro from program number=18700
INFO:root:extracting macro from program number=18800
INFO:root:extracting macro from program number=18900
INFO:root:extracting macro from program number=19000
INFO:root:extracting macro from program number=19100
INFO:root:extracting macro from program number=19200
INFO:root:extracting macro from program number=19300
INFO:root:extracting macro from program number=19400
INFO:root:extracting macro from program number=19500
INFO:root:extracting macro from program number=19600
INFO:root:extracting macro from program number=19700
INFO:root:extracting macro from program number=19800
INFO:root:extracting macro from program number=19900
INFO:root:extracting macro from program number=20000
INFO:root:extracting macro from program number=20100
INFO:root:extracting macro from program number=20200
INFO:root:extracting macro from program number=20300
INFO:root:extracting macro from program number=20400
INFO:root:extracting macro from program number=20500
INFO:root:extracting macro from program number=20600
INFO:root:extracting macro from program number=20700
INFO:root:extracting macro from program number=20800
INFO:root:extracting macro from program number=20900
INFO:root:extracting macro from program number=21000
INFO:root:extracting macro from program number=21100
INFO:root:extracting macro from program number=21200
INFO:root:extracting macro from program number=21300
INFO:root:extracting macro from program number=21400
INFO:root:extracting macro from program number=21500
INFO:root:extracting macro from program number=21600
INFO:root:extracting macro from program number=21700
INFO:root:extracting macro from program number=21800
INFO:root:extracting macro from program number=21900
INFO:root:extracting macro from program number=22000
INFO:root:extracting macro from program number=22100
INFO:root:extracting macro from program number=22200
INFO:root:extracting macro from program number=22300
INFO:root:extracting macro from program number=22400
INFO:root:extracting macro from program number=22500
INFO:root:extracting macro from program number=22600
INFO:root:extracting macro from program number=22700
INFO:root:extracting macro from program number=22800
INFO:root:extracting macro from program number=22900
INFO:root:extracting macro from program number=23000
INFO:root:extracting macro from program number=23100
INFO:root:extracting macro from program number=23200
INFO:root:extracting macro from program number=23300
INFO:root:extracting macro from program number=23400
INFO:root:extracting macro from program number=23500
INFO:root:extracting macro from program number=23600
INFO:root:extracting macro from program number=23700
INFO:root:extracting macro from program number=23800
INFO:root:extracting macro from program number=23900
INFO:root:extracting macro from program number=24000
INFO:root:extracting macro from program number=24100
INFO:root:extracting macro from program number=24200
INFO:root:extracting macro from program number=24300
INFO:root:extracting macro from program number=24400
INFO:root:extracting macro from program number=24500
INFO:root:extracting macro from program number=24600
INFO:root:extracting macro from program number=24700
INFO:root:extracting macro from program number=24800
INFO:root:extracting macro from program number=24900
INFO:root:extracting macro from program number=25000
INFO:root:extracting macro from program number=25100
INFO:root:extracting macro from program number=25200
INFO:root:extracting macro from program number=25300
INFO:root:extracting macro from program number=25400
INFO:root:extracting macro from program number=25500
INFO:root:extracting macro from program number=25600
INFO:root:extracting macro from program number=25700
INFO:root:extracting macro from program number=25800
INFO:root:extracting macro from program number=25900
INFO:root:extracting macro from program number=26000
INFO:root:extracting macro from program number=26100
INFO:root:extracting macro from program number=26200
INFO:root:extracting macro from program number=26300
INFO:root:extracting macro from program number=26400
INFO:root:extracting macro from program number=26500
INFO:root:extracting macro from program number=26600
INFO:root:extracting macro from program number=26700
INFO:root:extracting macro from program number=26800
INFO:root:extracting macro from program number=26900
INFO:root:extracting macro from program number=27000
INFO:root:extracting macro from program number=27100
INFO:root:extracting macro from program number=27200
INFO:root:extracting macro from program number=27300
INFO:root:extracting macro from program number=27400
INFO:root:extracting macro from program number=27500
INFO:root:extracting macro from program number=27600
INFO:root:extracting macro from program number=27700
INFO:root:extracting macro from program number=27800
INFO:root:extracting macro from program number=27900
INFO:root:extracting macro from program number=28000
INFO:root:extracting macro from program number=28100
INFO:root:extracting macro from program number=28200
INFO:root:extracting macro from program number=28300
INFO:root:extracting macro from program number=28400
INFO:root:extracting macro from program number=28500
INFO:root:extracting macro from program number=28600
INFO:root:extracting macro from program number=28700
INFO:root:extracting macro from program number=28800
INFO:root:extracting macro from program number=28900
INFO:root:extracting macro from program number=29000
INFO:root:extracting macro from program number=29100
INFO:root:extracting macro from program number=29200
INFO:root:extracting macro from program number=29300
INFO:root:extracting macro from program number=29400
INFO:root:extracting macro from program number=29500
INFO:root:extracting macro from program number=29600
INFO:root:extracting macro from program number=29700
INFO:root:extracting macro from program number=29800
INFO:root:replacing macro 0
INFO:root:replacing macro 1
INFO:root:replacing macro 2
INFO:root:replacing macro 3
INFO:root:replacing macro 4
INFO:root:replacing macro 5
INFO:root:replacing macro 6
INFO:root:replacing macro 7
INFO:root:replacing macro 8
INFO:root:replacing macro 9
INFO:root:finished refactoring, saving macros and programs to file...
INFO:root:finished. total time=5533.726694822311
